;C_ID;geo;trends;ID;date;GT_DK_0;GT_DK_1;GT_DK_2;GT_DK_3;GT_DK_4;GT_DK_5;GT_DK_6;GT_DK_7;GT_DK_8;GT_DK_9;GT_DK_10;GT_DK_11;GT_DK_12;GT_DK_13;GT_DK_14;GT_DK_15;GT_DK_16;GT_DK_17;GT_DK_18;GT_DK_19;GT_DK_20;GT_DK_21;GT_NO_0;GT_NO_1;GT_NO_2;GT_NO_6;GT_NO_7;GT_NO_8;GT_NO_10;GT_NO_11;GT_SE_0;GT_SE_1;GT_SE_2;GT_SE_5;GT_SE_6;GT_SE_7;GT_SE_8;GT_SE_9;GT_SE_10;GT_SE_11
2399;SE;SE-S;SE-S;Värmland;2011Q4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.333333333333336;62.333333333333336;28.666666666666668;16.333333333333332;18.333333333333332;68.66666666666667;18.0;12.666666666666666;15.0;19.333333333333332
2400;SE;SE-S;SE-S;Värmland;2012Q1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.333333333333336;69.33333333333333;29.666666666666668;25.0;21.666666666666668;79.0;31.666666666666668;13.0;18.666666666666668;19.0
2401;SE;SE-S;SE-S;Värmland;2012Q2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;51.0;58.333333333333336;28.666666666666668;14.0;14.0;64.33333333333333;23.333333333333332;17.333333333333332;21.0;16.333333333333332
2402;SE;SE-S;SE-S;Värmland;2012Q3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.666666666666664;65.66666666666667;35.333333333333336;13.666666666666666;30.0;61.666666666666664;24.666666666666668;23.333333333333332;12.666666666666666;12.666666666666666
2403;SE;SE-S;SE-S;Värmland;2012Q4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47.0;65.33333333333333;30.333333333333332;24.0;16.666666666666668;69.33333333333333;20.333333333333332;14.0;12.333333333333334;16.666666666666668
2404;SE;SE-S;SE-S;Värmland;2013Q1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.666666666666664;78.66666666666667;46.333333333333336;18.333333333333332;8.666666666666666;82.33333333333333;25.333333333333332;18.333333333333332;20.0;23.666666666666668
2405;SE;SE-S;SE-S;Värmland;2013Q2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.666666666666664;60.333333333333336;31.666666666666668;18.0;19.333333333333332;76.33333333333333;26.0;18.666666666666668;23.0;12.333333333333334
2406;SE;SE-S;SE-S;Värmland;2013Q3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.666666666666664;61.666666666666664;38.666666666666664;21.333333333333332;20.333333333333332;74.0;24.0;16.666666666666668;13.0;11.333333333333334
2407;SE;SE-S;SE-S;Värmland;2013Q4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.333333333333336;61.0;42.333333333333336;14.333333333333334;19.333333333333332;72.66666666666667;25.0;14.333333333333334;16.333333333333332;11.0
2408;SE;SE-S;SE-S;Värmland;2014Q1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;67.0;79.33333333333333;37.333333333333336;22.333333333333332;18.333333333333332;76.0;23.333333333333332;21.666666666666668;18.0;13.666666666666666
2409;SE;SE-S;SE-S;Värmland;2014Q2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;63.333333333333336;34.333333333333336;11.666666666666666;13.333333333333334;69.66666666666667;21.0;21.333333333333332;14.0;18.0
2410;SE;SE-S;SE-S;Värmland;2014Q3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.666666666666664;71.66666666666667;39.0;19.0;13.333333333333334;86.0;22.0;23.666666666666668;14.333333333333334;21.0
