labour_force_share,reg_nr,ID,date,pop,mvu_lvu,mvu_lvu_share,urban_share
72.8,20,Dalarna,2015-04-01,281028,54934,19.547518396743385,82.53056634926057
69.4,21,Gävleborg,2015-04-01,281815,54656,19.394283483845786,80.21680889945532
71.1,22,Västernorrland,2015-04-01,243897,51690,21.193372612209252,79.21581651270824
71.0,23,Jämtland,2015-04-01,127376,27695,21.74271448310514,71.18766486622283
73.3,24,Västerbotten,2015-04-01,263378,71689,27.219053983248408,79.34717402364663
70.9,25,Norrbotten,2015-04-01,249733,55245,22.121625896457417,82.63945894215021
78.2,01,Stockholm,2015-07-01,2231439,726522,32.55845219161267,96.80103287609475
75.0,03,Uppsala,2015-07-01,354164,108000,30.494347251555777,81.5441433911973
69.5,04,Södermanland,2015-07-01,283712,56865,20.043212835551547,84.38557410331605
73.0,05,Östergötland,2015-07-01,445661,111551,25.030460372345797,85.40594757001398
75.3,06,Jönköping,2015-07-01,347837,72104,20.72924961979318,83.82776990371927
74.7,07,Kronoberg,2015-07-01,191369,43286,22.619128489985314,78.6558951554327
70.5,08,Kalmar,2015-07-01,237679,49056,20.639602152482972,79.45674628385343
74.3,09,Gotland,2015-07-01,57391,12258,21.358749629732884,62.10904148734122
71.60000000000001,10,Blekinge,2015-07-01,156253,35657,22.82004185519638,83.35135965389465
74.7,12,Skåne,2015-07-01,1303627,348603,26.741007972372465,90.29500002684817
75.5,13,Halland,2015-07-01,314784,74190,23.568542238487346,84.2434812442818
74.5,14,Västra Götaland,2015-07-01,1648682,429669,26.061362955378904,86.1841155541214
70.3,17,Värmland,2015-07-01,275904,59484,21.559672929714683,75.70821735096266
71.6,18,Örebro,2015-07-01,291012,64790,22.26368672082251,83.91750168377936
72.5,19,Västmanland,2015-07-01,264276,58346,22.0776763686449,88.2615144772889
70.6,20,Dalarna,2015-07-01,281028,54934,19.547518396743385,82.53056634926057
69.4,21,Gävleborg,2015-07-01,281815,54656,19.394283483845786,80.21680889945532
71.8,22,Västernorrland,2015-07-01,243897,51690,21.193372612209252,79.21581651270824
71.8,23,Jämtland,2015-07-01,127376,27695,21.74271448310514,71.18766486622283
72.2,24,Västerbotten,2015-07-01,263378,71689,27.219053983248408,79.34717402364663
71.3,25,Norrbotten,2015-07-01,249733,55245,22.121625896457417,82.63945894215021
77.3,01,Stockholm,2015-10-01,2231439,726522,32.55845219161267,96.80103287609475
74.5,03,Uppsala,2015-10-01,354164,108000,30.494347251555777,81.5441433911973
70.1,04,Södermanland,2015-10-01,283712,56865,20.043212835551547,84.38557410331605
70.6,05,Östergötland,2015-10-01,445661,111551,25.030460372345797,85.40594757001398
74.4,06,Jönköping,2015-10-01,347837,72104,20.72924961979318,83.82776990371927
74.4,07,Kronoberg,2015-10-01,191369,43286,22.619128489985314,78.6558951554327
70.9,08,Kalmar,2015-10-01,237679,49056,20.639602152482972,79.45674628385343
69.0,09,Gotland,2015-10-01,57391,12258,21.358749629732884,62.10904148734122
70.1,10,Blekinge,2015-10-01,156253,35657,22.82004185519638,83.35135965389465
73.2,12,Skåne,2015-10-01,1303627,348603,26.741007972372465,90.29500002684817
