date,target_actual,ID,target_lag,jobs,sector_information_technology,sector_engineering_technology,sector_management_staff,sector_trade_service,sector_industry_craft,sector_sales_communication,sector_teaching,sector_office_finance,sector_social_health,sector_other,pop,mvu_lvu_share_pop,labour_force_share,w_ave_socio_index,w_ave_urban_index,GT_DK_0,GT_DK_1,GT_DK_2,GT_DK_3,GT_DK_4,GT_DK_5,GT_DK_6,GT_DK_7,GT_DK_8,GT_DK_9,GT_DK_10,GT_DK_11,GT_DK_12,GT_DK_13,GT_DK_14,GT_DK_15,GT_DK_16,GT_DK_17,GT_DK_18,GT_DK_19,GT_DK_20,GT_DK_21
2015-02-01,6.2,North Denmark,6.1,0.5216869292460982,0.01793765945831856,0.03512791643920718,0.0597921981943952,0.08557758366572812,0.04708635607808622,0.05605518580724549,0.06539771677511975,0.0710032353558443,0.10164673693047184,0.07436654650427903,582632.0,13.329168325804279,45.92838017822571,0.9525117792756841,80.76865004780369,41.0,41.0,60.0,48.0,54.64,24.21,18.97,68.0,7.69,63.0,71.88,29.0,43.48,15.15,35.0,13.0,50.0,60.0,27.0,45.0,42.0,39.0
2015-03-01,5.8,North Denmark,6.2,0.6387280486315868,0.020941903233822518,0.050110982738075315,0.07479251154936614,0.08975101385923936,0.07292269876063198,0.06282570970146756,0.06619137272118902,0.09124686409022668,0.13462652078885906,0.09199478920572035,582632.0,13.329168325804279,45.896286163478834,0.9525117792756842,80.76865004780369,61.0,42.0,75.0,57.0,49.48,26.32,15.52,80.0,7.69,56.0,72.92,43.0,25.0,34.34,48.0,11.0,57.0,62.0,30.0,51.0,47.0,57.0
2015-04-01,5.1,North Denmark,5.8,0.5515738828904031,0.018748262504772368,0.037496525009544736,0.07686787626956672,0.08811683377243014,0.06899360601756233,0.06224423151584427,0.06899360601756233,0.05886954426498524,0.09824089552500721,0.07536801526918492,582632.0,13.329168325804279,45.7735551771959,0.9525117792756841,80.76865004780367,30.0,37.0,66.0,51.0,50.52,16.84,24.14,72.0,7.69,51.0,51.04,38.0,30.43,31.31,27.0,10.0,24.0,37.0,21.0,50.0,35.0,26.0
2015-05-01,5.0,North Denmark,5.1,0.5990063385020752,0.020744808259812127,0.04111917351498476,0.0637161967979944,0.08483144806244602,0.07445904393253995,0.05482556468664634,0.10150138327122363,0.06075265276087838,0.10891024336401368,0.09038809313203855,582664.0,13.328436285749593,46.32979899221507,0.9525542922621948,80.83607373455288,41.0,34.0,63.0,47.0,51.55,21.05,8.62,65.0,6.15,47.0,53.12,35.0,34.78,23.23,33.0,12.0,12.0,50.0,20.0,44.0,38.0,39.0
2015-06-01,4.8,North Denmark,5.0,0.6411738815823828,0.022752534483144474,0.05072696212635489,0.06303571028936748,0.09250210740688246,0.07049555766089026,0.05781381712930153,0.09697801582979612,0.07236051950377095,0.08616123714108809,0.12271448926154971,582664.0,13.328436285749593,46.01313964823638,0.9525542922621948,80.83607373455284,52.0,40.0,67.0,61.0,58.76,22.11,10.34,74.0,7.69,51.0,57.29,48.0,32.61,22.22,29.0,17.0,33.0,49.0,26.0,42.0,57.0,21.0
2015-07-01,4.5,North Denmark,4.8,0.44609665427509293,0.01858736059479554,0.033085501858736065,0.04795539033457249,0.06394052044609665,0.04944237918215613,0.04237918215613383,0.04721189591078067,0.05278810408921933,0.08624535315985131,0.07323420074349442,582664.0,13.724719563933933,46.1672593467247,0.9525542922621948,80.83607373455288,40.0,35.0,63.0,47.0,52.58,31.58,15.52,62.0,6.15,45.0,63.54,22.0,27.17,22.22,30.0,8.0,73.0,48.0,19.0,42.0,37.0,33.0
2015-08-01,4.7,North Denmark,4.5,0.5508383670742275,0.025274634926482777,0.046832411775541614,0.06690344539363088,0.07062030347105482,0.07619559058719072,0.0542661279303895,0.07619559058719072,0.06430164473943413,0.0713636750865396,0.09700999582076478,583471.0,13.705736874669006,46.111021798855475,0.9524331984985844,80.83003722673672,32.0,42.0,77.0,50.0,55.67,34.74,13.79,70.0,9.23,56.0,56.25,32.0,28.26,12.12,33.0,15.0,28.0,52.0,24.0,50.0,38.0,30.0
2015-09-01,4.6,North Denmark,4.7,0.5860275257351099,0.02074433719416318,0.04593388950136133,0.06519648832451284,0.06927126884479491,0.07001213803030074,0.06482605373175994,0.08297734877665272,0.07556865692159444,0.08408865255491146,0.10483298974907464,583471.0,13.705736874669006,46.26677075638722,0.9485472141677656,80.83003722673672,35.0,36.0,78.0,50.0,51.55,16.84,17.24,73.0,4.62,51.0,62.5,30.0,17.39,23.23,23.0,20.0,38.0,41.0,28.0,44.0,31.0,19.0
2015-10-01,4.7,North Denmark,4.6,0.606321359734206,0.02779590585578573,0.04187916482271716,0.08079343302081718,0.06745139821004004,0.06003915664849717,0.06300405327311431,0.0844995538015886,0.08153465717697146,0.10747750264237148,0.10154770939313719,583471.0,13.705736874669006,46.244613699738295,0.9485472141677652,80.8300372267367,53.0,39.0,70.0,46.0,68.04,36.84,6.9,69.0,4.62,51.0,58.33,49.0,22.83,13.13,32.0,18.0,64.0,50.0,26.0,34.0,34.0,19.0
2015-11-01,4.8,North Denmark,4.7,0.576868776522048,0.02773767996272356,0.03785818481398756,0.07384220206292623,0.0727177015238969,0.06372169721166222,0.05435085938641778,0.08471237394020979,0.08696137501826845,0.09933088094759113,0.08808587555729779,584918.0,13.671830923308908,45.610685600374744,0.9485111846210392,80.88049747416467,54.0,43.0,67.0,59.0,51.55,26.32,10.34,63.0,6.15,46.0,72.92,35.0,15.22,9.09,33.0,12.0,29.0,37.0,21.0,38.0,37.0,28.0
