;geoName;geoCode;date;GT_DK_0_cross;GT_DK_1_cross;GT_DK_2_cross;GT_DK_3_cross;GT_DK_4_cross;GT_DK_5_cross;GT_DK_6_cross;GT_DK_7_cross;GT_DK_8_cross;GT_DK_9_cross;GT_DK_10_cross;GT_DK_11_cross;GT_DK_12_cross;GT_DK_13_cross;GT_DK_14_cross;GT_DK_15_cross;GT_DK_16_cross;GT_DK_17_cross;GT_DK_18_cross;GT_DK_19_cross;GT_DK_20_cross;GT_DK_21_cross;ID;trends
164;Region Zealand;DK-85;2008-09-01;67;79;85;100;40;44;100;82;100;71;100;0;0;0;68;93;0;100;100;95;0;0;Zealand;DK-85
165;Capital Region of Denmark;DK-84;2008-10-01;63;78;100;75;81;38;89;79;68;55;100;86;46;26;43;56;53;64;59;63;22;26;Capital;DK-84
166;Central Denmark Region;DK-82;2008-10-01;100;81;90;100;85;31;100;90;58;73;52;82;65;15;34;100;74;79;45;89;22;30;Central Denmark;DK-82
167;North Denmark Region;DK-81;2008-10-01;83;81;90;56;58;70;85;92;44;100;58;50;63;100;100;62;100;100;52;79;60;100;North Denmark;DK-81
168;Region Syddanmark;DK-83;2008-10-01;81;68;97;79;100;100;61;95;80;71;70;91;45;71;56;55;0;76;57;91;100;72;Southern Denmark;DK-83
169;Region Zealand;DK-85;2008-10-01;0;100;78;89;78;55;66;100;100;74;54;100;100;39;46;85;0;92;100;100;72;78;Zealand;DK-85
170;Capital Region of Denmark;DK-84;2008-11-01;30;61;90;84;62;50;20;78;72;55;78;45;13;74;40;53;44;54;59;82;68;45;Capital;DK-84
171;Central Denmark Region;DK-82;2008-11-01;52;38;85;98;54;87;37;66;68;77;92;89;44;60;59;56;100;68;56;97;80;0;Central Denmark;DK-82
172;North Denmark Region;DK-81;2008-11-01;100;35;95;93;39;100;100;79;46;100;100;100;100;100;100;75;0;40;27;100;100;100;North Denmark;DK-81
173;Region Syddanmark;DK-83;2008-11-01;82;54;92;84;54;30;37;82;75;79;36;47;36;93;42;41;0;100;98;92;89;36;Southern Denmark;DK-83
